alpha,gamma,loss,tp,fp,tn,fn,accuracy,precision,recall,auc
0.1,1,0.784316063,27,0,56858,77,0.998648226,1,0.259615391,0.938478112
0.1,1.5,0.587440193,33,0,56858,71,0.998753548,1,0.317307681,0.948597312
0.1,2,0.596274018,27,0,56858,77,0.998648226,1,0.259615391,0.946085215
0.1,2.5,0.553404212,35,0,56858,69,0.998788655,1,0.336538464,0.938170493
0.1,3,0.408661902,52,1,56857,52,0.999069571,0.98113209,0.5,0.941289246
0.1,3.5,0.382756919,53,4,56854,51,0.999034464,0.929824591,0.509615362,0.946325004
0.1,4,0.319525391,53,2,56856,51,0.999069571,0.963636339,0.509615362,0.955272675
0.15,1,0.894552588,48,2,56856,56,0.998981774,0.959999979,0.461538464,0.938797772
0.15,1.5,0.841682792,44,1,56857,60,0.998929083,0.977777779,0.423076928,0.947216392
0.15,2,0.711224198,40,0,56858,64,0.998876452,1,0.384615391,0.950327396
0.15,2.5,0.711691856,33,0,56858,71,0.998753548,1,0.317307681,0.955693603
0.15,3,0.674493015,33,0,56858,71,0.998753548,1,0.317307681,0.947119534
0.15,3.5,0.530045033,42,0,56858,62,0.99891156,1,0.403846145,0.950702667
0.15,4,0.813970625,29,0,56858,75,0.998683333,1,0.278846145,0.943243921
0.2,1,1.278247118,33,0,56858,71,0.998753548,1,0.317307681,0.942819655
0.2,1.5,0.894279778,56,2,56856,48,0.999122202,0.965517223,0.538461566,0.945513487
0.2,2,0.859913051,53,3,56855,51,0.999051988,0.946428597,0.509615362,0.948242486
0.2,2.5,0.749022484,54,1,56857,50,0.999104679,0.981818199,0.519230783,0.947303295
0.2,3,0.782521844,53,4,56854,51,0.999034464,0.929824591,0.509615362,0.951525331
0.2,3.5,0.489440233,61,5,56853,43,0.99915731,0.924242437,0.586538434,0.952092052
0.2,4,0.582794905,59,5,56853,45,0.999122202,0.921875,0.567307711,0.955892086
0.25,1,1.289500594,58,5,56853,46,0.999104679,0.920634925,0.557692289,0.950031638
0.25,1.5,1.336446047,47,5,56853,57,0.99891156,0.903846145,0.451923072,0.936775267
0.25,2,0.88315165,60,4,56854,44,0.99915731,0.9375,0.576923072,0.955388546
0.25,2.5,0.986944973,55,5,56853,49,0.999051988,0.916666687,0.528846145,0.949828267
0.25,3,0.947826028,52,3,56855,52,0.999034464,0.945454538,0.5,0.948509634
0.25,3.5,0.732854664,60,4,56854,44,0.99915731,0.9375,0.576923072,0.95328027
0.25,4,0.696506262,56,4,56854,48,0.999087095,0.933333337,0.538461566,0.952677429
0.3,1,1.552926183,54,4,56854,50,0.999051988,0.931034505,0.519230783,0.951794565
0.3,1.5,1.316003561,58,5,56853,46,0.999104679,0.920634925,0.557692289,0.954246044
0.3,2,1.162417531,60,5,56853,44,0.999139786,0.923076928,0.576923072,0.95352459
0.3,2.5,1.120750666,56,5,56853,48,0.999069571,0.918032765,0.538461566,0.941969752
0.3,3,1.114822745,62,6,56852,42,0.99915731,0.911764681,0.596153855,0.949144602
0.3,3.5,0.652524173,61,5,56853,43,0.99915731,0.924242437,0.586538434,0.961764395
0.3,4,0.605036378,70,6,56852,34,0.999297798,0.921052635,0.673076928,0.958373964
0.35,1,1.666007757,60,4,56854,44,0.99915731,0.9375,0.576923072,0.957803428
0.35,1.5,1.26969564,69,6,56852,35,0.999280214,0.920000017,0.663461566,0.965269327
0.35,2,1.410045624,68,8,56850,36,0.999227583,0.894736826,0.653846145,0.948354006
0.35,2.5,1.030098915,65,6,56852,39,0.99921,0.915492952,0.625,0.954402506
0.35,3,1.052823782,68,6,56852,36,0.999262691,0.918918908,0.653846145,0.952712476
0.35,3.5,0.690620482,73,6,56852,31,0.999350429,0.924050629,0.701923072,0.96153909
0.35,4,0.893528402,69,5,56853,35,0.999297798,0.932432413,0.663461566,0.950965285
0.4,1,1.781080246,66,6,56852,38,0.999227583,0.916666687,0.634615362,0.961264968
0.4,1.5,1.612947702,72,8,56850,32,0.999297798,0.899999976,0.692307711,0.950958729
0.4,2,1.31960988,73,6,56852,31,0.999350429,0.924050629,0.701923072,0.960674584
0.4,2.5,1.109339118,77,7,56851,27,0.999403119,0.916666687,0.740384638,0.957237303
0.4,3,0.924254954,74,6,56852,30,0.999368012,0.925000012,0.711538434,0.958725452
0.4,3.5,0.878162861,75,6,56852,29,0.999385536,0.92592591,0.721153855,0.962284446
0.4,4,1.0032022,67,5,56853,37,0.999262691,0.930555582,0.644230783,0.955468655
